jourSem;dateFrom;dateTo;heureCoucher;minutesMinuit;periode
2;02/11/2020;02/12/2020;23:03:00;-57;1
3;02/12/2020;02/13/2020;22:39:00;-81;1
4;02/13/2020;02/14/2020;22:14:00;-106;1
5;02/14/2020;02/15/2020;01:07:00;67;1
6;02/15/2020;02/16/2020;00:58:00;58;1
7;02/16/2020;02/17/2020;23:02:00;-58;1
1;02/17/2020;02/18/2020;22:25:00;-95;1
2;02/18/2020;02/19/2020;23:21:00;-39;1
3;02/19/2020;02/20/2020;21:27:00;-153;1
4;02/20/2020;02/21/2020;22:03:00;-117;1
5;02/21/2020;02/22/2020;01:27:00;87;1
6;02/22/2020;02/23/2020;03:50:00;230;1
7;02/23/2020;02/24/2020;23:07:00;-53;1
1;02/24/2020;02/25/2020;23:26:00;-34;1
2;02/25/2020;02/26/2020;00:58:00;58;1
3;02/26/2020;02/27/2020;23:32:00;-28;1
