id;nom;description
1;Service civil pré-covid;Je travaille au Collège des Parcs dans la classe de remédiation
2;Premier confinement;Avec la fermeture des écoles à cause du covid, je suis licensié de mon poste de civiliste. Je n'ai donc pas de travail durant le premier confinement
3;Service civil post-covid;Les écoles réouvrent et je suis réembaucher par le centre des Terreaux. Cette fois ci dans la classe d'accueuil
4;Vacances d'été 2020;Durant les vacances d'été 2020 je suis parti en vacances en Suisse du 20 au 26 juillet ce qui explique le manque de données
5;Début du semestre 1;Je commence la HEIG-VD avec 2 semaines de cours préparatoires les semaines du 24 et 31 août puis avec la vrai rentrée un lendemain de fête du vin le lundi 21 septembre
6;Vacances d'automne 2020;Durant ces vacances d'automne je n'ai rien fait de spécial
7;Milieu du semestre 1;Les cours ayant repris à distance, je ne sors plus du tout durant cette période
8;Vacances de Noël 2020;Je resors pour la première fois à nouveau la soirée du nouvel an
9;Fin du semestre 1;Les cours sont toujours à distance
10;Semaines blanches 2021;Spécialement cette année là, nous avons deux semaines de vacances en février
11;Début du semestre 2;Avec Sylvain et Alex on se motive à se mettre au sport, je commence mon "Yes Life Challenge"
12;Vacances de Pâques 2021;Rien de spécial durant ces vacances
13;Fin du semestre 2;Fin d'année assez chargée avec les examens
14;Vancances d'été 2021;Je pars une semaine en vacances en Toscane avec les parents entre 29 août et le 5 septembre puis a Queige avec les copains du 16 au 20 septembre
15;Début du semestre 3;Rentrée le mardi 21 septembre
16;Vacances d'automne 2021;Je vais à Europapark le lundi 25 octobre
17;Milieu du semestre 3;Weekend à Lyon le 19-20-21 novembre
18;Vacances de Noël 2021;Je suis à Anzère du 27 au 29 décembre avec Virgil et Steven
19;Fin du semestre 3;Rien de spécial ormis les examens de fin de semestre
20;Semaine blanche 2022;Rien de spécial durant cette semaine blanche
